Area,Activity Group,Activity,Type,Definition
Revenue,Wallet Payment,Merchant Withdrawal,FX - User,"This revenue is generated when users make withdrawals from a merchant to their wallet in a different currency than the merchant’s cashier. In these cases, the funds are converted at AstroPay’s FX rate, which includes a spread over the official exchange rate. The revenue comes from this spread."
Revenue,Wallet Payment,Merchant Withdrawal,FX - Merchant,"This revenue represents the earnings generated from foreign exchange rate differentials when settling merchant withdrawals. AstroPay maintains a panel that tracks all transactions, typically in USD. However, when merchants operate their sites in other currencies (e.g., INR, ARS, BRL), these transactions (merchant withdrawals) are converted to USD using AstroPay’s FX rate, which differs from the official exchange rate. The revenue arises from the spread between AstroPay’s FX rate and the official rate."
Revenue,Wallet Payment,Merchant Withdrawal,Fee,"The fee charged to the merchant is determined by a prior agreement and varies based on the monthly merchant withdrawal volume generated by the merchant, as well as the origin of the volume by region or country. Merchants typically adhere to a tiered fee structure that adjusts according to volume and geographic source."
Revenue,Wallet Payment,Merchant Payment,Rebates,"They refer to the amount of money AstroPay returns to merchants or charges them less as part of an agreement based on the volume of transactions they process. The fee percentage applied to the merchant depends on the monthly volume of DOP they generate. As merchants hit certain transaction volume thresholds, they qualify for reduced fees or rebates, which lower the percentage charged. These rebates are typically a form of incentive to encourage higher transaction volumes, benefiting both the merchant and AstroPay by maintaining a favorable fee structure. The rebates are calculated based on the agreed-upon fee schedule linked to the merchant’s transaction volume for the month."
Revenue,Wallet Payment,Merchant Payment,FX - Merchant Exchange Difference,"This revenue is generated in markets with parallel FX markets, such as Argentina and Nigeria, where multiple exchange rates exist in addition to the official rate. Like the FX - User exchange difference, when AstroPay processes merchant payments or withdrawals in these markets, an FX spread is applied to the official exchange rate. However, there is also a discrepancy between the official rate and the parallel market rate. The true FX revenue in this case is derived from the spread between the parallel market rate and AstroPay's FX rate, applied to merchant transactions. The resulting difference generates either a gain or a loss, depending on the movement of these exchange rates."
Revenue,Wallet Payment,Merchant Payment,FX - User Exchange Difference,"In countries with parallel FX markets, such as Argentina and Nigeria, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When processing merchant payments or withdrawals, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Wallet Payment,Merchant Payment,FX - User,"This revenue is generated when users make payments to a merchant in a different currency than the merchant’s cashier. In these cases, the funds are converted at AstroPay’s FX rate, which includes a spread over the official exchange rate. The revenue comes from this spread."
Revenue,Wallet Payment,Merchant Payment,FX - Merchant,"This revenue represents the earnings generated from foreign exchange rate differentials when settling merchant payments. AstroPay maintains a panel that tracks all transactions, typically in USD. However, when merchants operate their sites in other currencies (e.g., INR, ARS, BRL), these transactions (merchant payments) are converted to USD using AstroPay’s FX rate, which differs from the official exchange rate. The revenue arises from the spread between AstroPay’s FX rate and the official rate."
Revenue,Wallet Payment,Merchant Payment,Fee,"The fee charged to the merchant is determined by a prior agreement and varies based on the monthly merchant payment volume generated by the merchant, as well as the origin of the volume by region or country. Merchants typically adhere to a tiered fee structure that adjusts according to volume and geographic source."
Revenue,Wallet Payment,,,"Covers transactions in which users transfer funds from their AstroPay wallet to a merchant, excluding full gateway flows."
Revenue,Wallet Payment,Merchant Payment,,"When a user makes a payment from their AstroPay wallet to a merchant (e.g., a gambling or e-commerce site). Includes standard deposits and One-Touch flows. Does not include Full Gateway payments."
Revenue,Wallet Deposit,Wallet Deposit,FX - User Exchange Difference,"In countries with parallel FX markets, such as Argentina and Nigeria, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When a User performs a wallet deposit paying on a different currency than the wallet currency, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Wallet Deposit,Wallet Deposit,FX - User,"Revenue generated when a user funds their AstroPay wallet using a currency different from the one they intend to use for payments. A currency conversion is performed, and a spread is applied to the exchange rate, representing the earnings from the transaction."
Revenue,Wallet Deposit,Wallet Deposit,User Fee,"A fee that may be charged to users when funding their AstroPay wallet. This fee can vary depending on the payment method and market regulations, and it includes specific charges such as the IOF tax in Brazil."
Revenue,Wallet Deposit,,,Covers all activities where users add funds to their AstroPay wallet using local currency.
Revenue,Wallet Deposit,Wallet Deposit,,"When a user funds their AstroPay wallet using a supported local payment method (e.g., bank transfer, PIX, CVU). Only local currencies are accepted in this process."
Revenue,Wallet Balance,User Wallet,,"Revenue derived from user wallet balances that remain unclaimed for a prolonged period, or from users in discontinued markets where funds can no longer be withdrawn."
Revenue,Wallet Balance,User Wallet,Expired Balance,"Revenue generated from user account balances that remain unclaimed for an extended period or from markets that AstroPay has discontinued. When users do not withdraw their funds within the specified timeframe, these balances expire and are recognized as earnings."
Revenue,Wallet Balance,AstroPoints,Expired Balance,Revenue generated from expired AstroPoints that were not redeemed within their one-year validity period. AstroPoints are awarded to users for specific actions on AstroPay and have a cost of USD 0.0001 per point. When points expire—either due to inactivity or account purges in discontinued markets—the associated cost is reversed and recognized as earnings.
Revenue,Wallet Balance,Other Gains,Other Gains,"Revenue derived from differences between AstroPay’s accounting records, and the amounts reported by payment processors. These discrepancies may result from factors such as timing differences, rounding adjustments, or reconciliation variances."
Revenue,Wallet Balance,Currency Exchange,FX - User Exchange Difference,"In countries with parallel FX markets, such as Argentina and Nigeria, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When a User performs a currency exchange, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Wallet Balance,Currency Exchange,User Fee,"A fee that may be charged to users when converting currencies within their AstroPay wallet. This category also includes specific regulatory charges, such as the IOF tax in Brazil."
Revenue,Wallet Balance,Currency Exchange,FX - User,"Revenue earned when a user exchanges one currency for another within their AstroPay wallet. The transaction is processed at an exchange rate that includes a spread, which represents our earnings from the currency conversion."
Revenue,Wallet Balance,Wallet Balance,Interest Income,The earnings generated from investing the funds held by our customers in their AstroPay accounts. This represents the interest accrued on these balances while they remain within our ecosystem.
Revenue,Wallet Balance,,,"Includes activities that affect the user’s wallet balance, excluding direct payments, deposits, and withdrawals."
Revenue,Wallet Balance,Wallet Balance,,Activity through which AstroPay and its users generate revenue by investing wallet and company funds in financial instruments.
Revenue,Wallet Balance,Currency Exchange,,When a user performs a currency conversion inside the AstroPay wallet. This activity typically generates revenue through spread margins.
Revenue,Wallet Balance,Other Gains,,"Revenue derived from discrepancies between AstroPay’s internal accounting and the amounts reported by payment processors. These may arise due to timing differences, rounding, or reconciliation adjustments."
Revenue,Wallet Balance,Astropoints,,Revenue generated from expired AstroPoints that were not redeemed within their one-year validity window.
Revenue,Payment Processing,Merchant Settlement,Fee,"This revenue is generated when AstroPay processes merchant settlements. The fee is applied based on the settlement amount: $250 for settlements below $12,000 USD, $90 for settlements between $12,000 and $100,000 USD and no fee for settlements exceeding $100,000 USD. This fee compensates for the administrative and operational costs of processing settlements. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Settlement,EUR-USD Exchange,"This revenue is generated from currency conversions during merchant settlements. Although merchant balances are typically held in USD on the AstroPay panel, settlements are often paid in Euros. AstroPay converts the USD balance to Euros at its FX rate, applying a spread over the market exchange rate. The revenue comes from this FX spread. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Withdrawal,FX - Merchant Exchange Difference,"This revenue is generated in markets with parallel FX markets, such as Argentina and Nigeria, where multiple exchange rates exist in addition to the official rate. Like the FX - User exchange difference, when AstroPay processes merchant payments or withdrawals in these markets, an FX spread is applied to the official exchange rate. However, there is also a discrepancy between the official rate and the parallel market rate. The true FX revenue in this case is derived from the spread between the parallel market rate and AstroPay's FX rate, applied to merchant transactions. The resulting difference generates either a gain or a loss, depending on the movement of these exchange rates. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Withdrawal,FX - Merchant,"This revenue represents the earnings generated from foreign exchange rate differentials when settling merchant withdrawals. AstroPay maintains a panel that tracks all transactions, typically in USD. However, when merchants operate their sites in other currencies (e.g., INR, ARS, BRL), these transactions (merchant withdrawals) are converted to USD using AstroPay’s FX rate, which differs from the official exchange rate. The revenue arises from the spread between AstroPay’s FX rate and the official rate. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Withdrawal,Fee,"The fee charged to the merchant is determined by a prior agreement and varies based on the monthly merchant withdrawal volume generated by the merchant, as well as the origin of the volume by region or country. Merchants typically adhere to a tiered fee structure that adjusts according to volume and geographic source. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Payment,Rebates,"They refer to the amount of money AstroPay returns to merchants or charges them less as part of an agreement based on the volume of transactions they process. The fee percentage applied to the merchant depends on the monthly volume of DOP they generate. As merchants hit certain transaction volume thresholds, they qualify for reduced fees or rebates, which lower the percentage charged. These rebates are typically a form of incentive to encourage higher transaction volumes, benefiting both the merchant and AstroPay by maintaining a favorable fee structure. The rebates are calculated based on the agreed-upon fee schedule linked to the merchant’s transaction volume for the month. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Payment,FX - Merchant Exchange Difference,"This revenue is generated in markets with parallel FX markets, such as Argentina and Nigeria, where multiple exchange rates exist in addition to the official rate. Like the FX - User exchange difference, when AstroPay processes merchant payments or withdrawals in these markets, an FX spread is applied to the official exchange rate. However, there is also a discrepancy between the official rate and the parallel market rate. The true FX revenue in this case is derived from the spread between the parallel market rate and AstroPay's FX rate, applied to merchant transactions. The resulting difference generates either a gain or a loss, depending on the movement of these exchange rates. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Payment,FX - Merchant,"This revenue represents the earnings generated from foreign exchange rate differentials when settling merchant payments. AstroPay maintains a panel that tracks all transactions, typically in USD. However, when merchants operate their sites in other currencies (e.g., INR, ARS, BRL), these transactions (merchant payments) are converted to USD using AstroPay’s FX rate, which differs from the official exchange rate. The revenue arises from the spread between AstroPay’s FX rate and the official rate. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,Merchant Payment,Fee,"The fee charged to the merchant is determined by a prior agreement and varies based on the monthly merchant payment volume generated by the merchant, as well as the origin of the volume by region or country. Merchants typically adhere to a tiered fee structure that adjusts according to volume and geographic source. Only applies for merchants that function under the Full Gateway operation."
Revenue,Payment Processing,,,Groups transactions involving payments and withdrawals to or from merchants using AstroPay through the full gateway integration. Currently available only in Brazil.
Revenue,Payment Processing,Merchant Payment,,When a user performs a payment to a full gateway-integrated merchant using funds from their AstroPay wallet.
Revenue,Payment Processing,Merchant Withdrawal,,When a user initiates a withdrawal from a full gateway-integrated merchant back to their AstroPay wallet.
Revenue,Payment Processing,Merchant Settlement,,"When a full gateway merchant requests settlement from AstroPay, receiving funds corresponding to their net merchant payments, after deducting merchant withdrawals and applicable fees."
Revenue,Other Services,Esim,User Fee,"When a user purchases an internet plan through the AstroPay app, the eSIM card is purchased in USD. If the user does not hold a USD balance, a foreign exchange (FX) conversion is executed at the time of purchase. An FX spread is applied to the exchange rate and included in the amount charged to the user."
Revenue,Other Services,Billpay,FX - User Exchange Difference,"In Argentina, multiple exchange rates operate alongside the official rate, reflecting the true market value of the currency. When a User performs a bill payment in a currency that differs from the bill’s currency, AstroPay applies an FX spread to the official rate, generating revenue. However, an additional revenue (or loss) arises from the difference between the official rate and the parallel market rate. This FX - User Exchange Difference revenue specifically captures the gain or loss resulting from this gap between the official and parallel rates. The true FX revenue in these markets is determined by the spread between the parallel rate and AstroPay’s FX rate."
Revenue,Other Services,Billpay,FX - User,"Revenue generated when AstroPay users pay bills or services in certain countries using a wallet balance in a different currency than the bill’s denomination. A currency conversion is performed, and a spread is applied to the exchange rate, representing AstroPay’s earnings from the transaction."
Revenue,Other Services,Billpay,Fee,A fee paid by bill payment service providers to AstroPay in exchange for driving user transactions and payment volume to their platforms.
Revenue,Other Services,Billpay,,"When a user pays utility bills or other service charges (e.g., electricity, water, telecom) via AstroPay’s payment infrastructure."
Revenue,Other Services,Esim,,Users can buy eSIM cards to have internet access in their phones anywhere in the world.
Revenue,Cards Payment,Credit Card Payment,FX - User,"Revenue generated when a user makes a purchase with their AstroPay credit card in a currency different from the balances available in their wallet. A currency conversion is performed, and a spread is applied to the exchange rate, representing AstroPay’s earnings from the transaction."
Revenue,Cards Payment,Credit Card Payment,Interchange Fee,A fee paid by the acquiring bank or payment processor to AstroPay when a user makes a transaction. It may vary based on the agreements with networks like Visa or Mastercard.
Revenue,Cards Payment,Debit Card Payment,FX - User,"Revenue generated when a user makes a purchase with their AstroPay debit card in a currency different from the balances available in their wallet. A currency conversion is performed, and a spread is applied to the exchange rate, representing AstroPay’s earnings from the transaction."
Revenue,Cards Payment,Debit Card Payment,Interchange Fee,A fee paid by the acquiring bank or payment processor to AstroPay when a user makes a transaction. It may vary based on the agreements with networks like Visa or Mastercard.
Revenue,Cards Payment,,,"Groups all activities where transactional cards are involved, including both debit and credit card operations that generate revenue."
Revenue,Cards Payment,Debit Card Payment,,Includes all revenue-generating transactions where the user pays using a debit card linked to their account.
Revenue,Cards Payment,Credit Card Payment,,Includes all revenue-generating transactions where the user pays using a credit card.
COGS,,Processing Costs,,"In our operation, we use two main fund processing models: Processor Gateway and Transfer Gateway. Both apply to Wallet deposit (fund collection) and Withdrawals (fund withdrawals), depending on the money flow structure.
• 1. Processor Gateway
This model operates through external providers for payment processing, who facilitate the collection or withdrawal of funds through different methods available in the application.
Processor Gateway Modalities:
    ◦ Traditional: The user chooses from multiple payment methods integrated into the wallet, which are processed through internal Gateways at an operational and technological level, and these fund movements are then processed by external PSPs.
    ◦ Full Gateway: It differs in that the integration is direct with the merchant, by passing the wallet, processing funds directly on the client's platform.
🔹 Cost considerations: In this scheme, costs are usually tied to a percentage of processed volume, which can represent a less efficient cost structure when volumes are high. This is because intermediaries may apply risk management surcharges and processing fees.
• 2. Transfer Gateway
This model is based on providing own accounts for users, where they can deposit or withdraw money directly through specific local methods (example: bank transfers, PIX, SPEI). In this scheme, the fintech acts as BaaS (Banking as a Service), allowing users to interact with their balance without depending on external processors.
🔹 Key benefit: In our operation, Transfer Gateway has generated a significant cost reduction, since, despite involving some fixed costs per account and KYC validations, these are diluted with processing volume, resulting in a much more efficient alternative."
COGS,,Expatriations,,"• Expatriation: Cost for transferring funds from local markets to international accounts. Spread applied by brokers according to the market or PSPs at the official exchange rate in the transfer.
• Spread: Currency conversion costs through our treasury team (can be for operational needs), as well as conversions that don't just occur when moving funds but due to provider particularities, automatically changing the currency for each transaction from local currency to a consolidated currency (e.g., USD) and there, without us intentionally moving those funds, we're already experiencing a spread, this is accounted for within this account."
COGS,,Promotions,,"Expenses incurred from marketing incentives offered to users to drive adoption, engagement, or transaction volume within the digital wallet. This includes costs such as cashback, discounts, vouchers, bonus credits, or rewards that directly reduce revenue or increase transaction-related expenses, and therefore are recognized as part of the company’s cost of goods sold."
COGS,,Bank Fees,,"Fees for operations and maintenance of bank accounts. For both local and international banks, these would be all the banks we use for the flow of funds within the company and the associated costs; payment of bills, payment to providers/services, settlements to clients, etc."
COGS,,Other Costs,,"A category of operating expenses that captures transaction-related and customer-driven costs not classified under core processing or promotional expenses. This includes items such as bad debts, referral and affiliate fees, cashout commissions, and chargebacks, which directly impact the company’s gross margin but do not fall within primary processing costs."
COGS,,Processing Costs,Payins,"Funds added to a digital wallet by a user through various funding methods such as bank transfers, credit or debit cards, cash deposits, or alternative local payment methods. Payins represent the inflow of money into the wallet, enabling users to hold a balance and perform subsequent transactions."
COGS,,Processing Costs,Payouts,"Funds withdrawn or transferred from a digital wallet to an external destination, such as a user’s bank account, card, or local payment method. Payouts represent the outflow of money from the wallet, allowing users to access their funds outside the wallet ecosystem."
COGS,,Processing Costs,Other Processing Costs,"These are costs that are not easily attributable to users or transactions. Account maintenance fees, charges for rejected or canceled transactions, among others."
COGS,,Processing Costs,Debit Cards,"Cost associated with debit card processing. We have different types of expenses depending on the provider, but most expenses can be:
1. Physical card (one-time purchase cost including packaging and delivery)
2. Virtual card (this has a monthly maintenance cost)
3. Processing by the Issuing provider (Approved/rejected transactions), we could also include fixed or minimum costs for operating with the provider. Ex: 10K USD + VAT per month - Pomelo.
4. Card tokenization.
5. KYC (User validation required by the provider), in most cases done once at issuance/creation. In some cases, it's more periodic due to certain compliance restrictions."
COGS,,Processing Costs,Bill Payments,"The cost is almost null, there isn't much margin and it operates on a revenue share scheme with the incorporation of large volume."
COGS,,Processing Costs,Savings,The expenses incurred by the company to provide and maintain the Savings product for users. This includes costs associated with funding interest or yield paid to users and fees related to managing the underlying financial instruments or partners.
COGS,,Processing Costs,Messaging,Costs of transactional notifications and communications to users with providers like Telesign and Twilio.
COGS,,Processing Costs,KYC,"Identity verification costs with providers like Onfido, Incode, etc. It arises from the moment when the user is onboarding in the application, the selfie that validates with the document, etc. This process has a cost and we call it KYC."
COGS,,Promotions,Promos,"Promotions we run to acquire or retain users, for example, cashbacks."
COGS,,Promotions,AstroPoints,"This is a strategy designed to incentivize customer loyalty. Users accumulate points for different transactions and then they can redeemed for experiences,balance in the wallet,etc."
COGS,,Other Costs,Bad Debts,"Failed releases largely due to integrations with BUGS when going to production, as well as existing integrations that underwent code changes over time or were exploited belatedly. On the other hand, we also have fund freezing by banks/processors, mostly in local markets and with risk that often due to risk we end up losing all funds without being able to appeal anything, in other cases a lawsuit is triggered through lawyers, etc. (well-known case of PayU in 2021)"
COGS,,Other Costs,Affiliates,Commissions for acquiring new users. Affiliates usually have a user portfolio and we pay a commission according to the affiliate/sub-affiliate for the processing generated by their portfolio in the wallet.
COGS,,Other Costs,Cashout Commissions,"Incentives to merchants to promote withdrawals, reducing expatriation costs. The idea is for money to remain in the Astropay ecosystem and avoid moving funds (which would generate additional expenses) operating in a more optimal way."
COGS,,Other Costs,Chargebacks,"Refunds for user disputes, mainly on credit cards. The fraud team is responsible for mitigating this risk by applying fraud rules per provider to reduce the occurrence of chargebacks. "
COGS,,Other Costs,Referals, Intermediary PSPs bring merchants and charge a commission for the processing we have with these clients.
OPEX,,,IT Expenses,"Costs related to technology infrastructure and services required to operate the business. This includes software licenses, cloud services, IT support, hardware, cybersecurity, and system maintenance."
OPEX,,,Legal & Accounting Professional Fees,"Expenditures on external professional services related to legal, accounting, and compliance. This includes audit and accounting fees, consultant services, and legal services supporting corporate operations."
OPEX,,,Marketing,"Expenses incurred to promote the company’s brand, products, and services, excluding promotional costs classified under COGS. This includes merchandising, sales initiatives, corporate events, trade shows, sponsorships, and branding activities."
OPEX,,,Other Professional Services,"Employee-related operating costs beyond direct salaries and contributions. This includes staff benefits (such as AstroRidae, AstroTeam, health insurance, and food vouchers), payroll-related expenses, recruitment costs, HR services, staff entertainment, and training and development programs."
OPEX,,,Personnel Costs,"Direct compensation and employment-related costs. This includes salaries, retirement contributions, payments to contractors, and other payroll obligations."
OPEX,,,Premises and Office Costs,"Expenses related to physical office operations. This includes office rent, utilities, telecommunications, supplies, and other office-related overheads."
OPEX,,,Travel and Entertainment,"Costs associated with business travel and client relationship management. This includes airfare, ground transportation, business development travel, and client entertainment activities."
OPEX,,,Other Costs,"A residual category covering minor operating expenses and specific local taxes not included elsewhere. This includes miscellaneous costs, taxes from local satellite offices, and one-off tax charges."
